ppq,val
0.0,0
384.0,233
768.0,464
1152.0,693
1536.0,920
1920.0,1144
2304.0,1367
2688.0,1588
3072.0,1806
3456.0,2023
3840.0,2237
4224.0,2450
4608.0,2661
4992.0,2870
5376.0,3077
5760.0,3282
6144.0,3486
6528.0,3688
6912.0,3888
7296.0,4086
7680.0,4283
8064.0,4478
8448.0,4671
8832.0,4863
9216.0,5053
9600.0,5241
9984.0,5428
10368.0,5612
10752.0,5796
11136.0,5978
11520.0,6158
11904.0,6336
12288.0,6513
12672.0,6689
13056.0,6862
13440.0,7035
13824.0,7205
14208.0,7374
14592.0,7542
14976.0,7708
15360.0,7872
15744.0,8035
16128.0,8197
16512.0,8357
16896.0,8515
17280.0,8672
17664.0,8827
18048.0,8981
18432.0,9133
18816.0,9284
19200.0,9433
19584.0,9581
19968.0,9727
20352.0,9872
20736.0,10015
21120.0,10156
21504.0,10297
21888.0,10435
22272.0,10572
22656.0,10708
23040.0,10842
23424.0,10975
23808.0,11106
24192.0,11236
24576.0,11364
24960.0,11491
25344.0,11616
25728.0,11740
26112.0,11862
26496.0,11983
26880.0,12102
27264.0,12219
27648.0,12336
28032.0,12450
28416.0,12563
28800.0,12675
29184.0,12785
29568.0,12894
29952.0,13001
30336.0,13107
30720.0,13211
31104.0,13314
31488.0,13415
31872.0,13514
32256.0,13612
32640.0,13709
33024.0,13804
33408.0,13897
33792.0,13989
34176.0,14080
34560.0,14169
34944.0,14256
35328.0,14342
35712.0,14426
36096.0,14509
36480.0,14590
36864.0,14670
37248.0,14748
37632.0,14825
38016.0,14900
38400.0,14973
38784.0,15045
39168.0,15115
39552.0,15184
39936.0,15251
40320.0,15317
40704.0,15381
41088.0,15444
41472.0,15504
41856.0,15564
42240.0,15621
42624.0,15677
43008.0,15732
43392.0,15785
43776.0,15836
44160.0,15886
44544.0,15934
44928.0,15980
45312.0,16025
45696.0,16068
46080.0,16110
46464.0,16150
46848.0,16188
47232.0,16224
47616.0,16259
48000.0,16293
48384.0,16324
48768.0,16354
49152.0,16383
