ppq,val
0.0,0
384.0,33
768.0,68
1152.0,105
1536.0,144
1920.0,185
2304.0,228
2688.0,273
3072.0,321
3456.0,369
3840.0,420
4224.0,473
4608.0,528
4992.0,585
5376.0,643
5760.0,703
6144.0,765
6528.0,829
6912.0,895
7296.0,962
7680.0,1031
8064.0,1102
8448.0,1175
8832.0,1249
9216.0,1325
9600.0,1403
9984.0,1482
10368.0,1563
10752.0,1646
11136.0,1730
11520.0,1816
11904.0,1903
12288.0,1992
12672.0,2083
13056.0,2175
13440.0,2269
13824.0,2364
14208.0,2461
14592.0,2559
14976.0,2659
15360.0,2761
15744.0,2863
16128.0,2968
16512.0,3073
16896.0,3181
17280.0,3289
17664.0,3399
18048.0,3511
18432.0,3624
18816.0,3738
19200.0,3854
19584.0,3971
19968.0,4089
20352.0,4209
20736.0,4330
21120.0,4452
21504.0,4576
21888.0,4701
22272.0,4828
22656.0,4955
23040.0,5084
23424.0,5215
23808.0,5346
24192.0,5479
24576.0,5613
24960.0,5748
25344.0,5885
25728.0,6023
26112.0,6162
26496.0,6302
26880.0,6443
27264.0,6586
27648.0,6730
28032.0,6875
28416.0,7021
28800.0,7168
29184.0,7317
29568.0,7466
29952.0,7617
30336.0,7769
30720.0,7922
31104.0,8076
31488.0,8231
31872.0,8388
32256.0,8545
32640.0,8704
33024.0,8863
33408.0,9024
33792.0,9185
34176.0,9348
34560.0,9512
34944.0,9677
35328.0,9843
35712.0,10009
36096.0,10177
36480.0,10346
36864.0,10516
37248.0,10687
37632.0,10858
38016.0,11031
38400.0,11205
38784.0,11379
39168.0,11555
39552.0,11731
39936.0,11908
40320.0,12087
40704.0,12266
41088.0,12445
41472.0,12626
41856.0,12808
42240.0,12990
42624.0,13173
43008.0,13357
43392.0,13542
43776.0,13727
44160.0,13913
44544.0,14100
44928.0,14288
45312.0,14476
45696.0,14664
46080.0,14854
46464.0,15043
46848.0,15234
47232.0,15424
47616.0,15616
48000.0,15807
48384.0,15999
48768.0,16191
49152.0,16383
