ppq,val
0.0,0
2304.0,1
2688.0,2
3072.0,3
3456.0,5
3840.0,7
4224.0,10
4608.0,13
4992.0,17
5376.0,21
5760.0,26
6144.0,31
6528.0,38
6912.0,45
7296.0,53
7680.0,62
8064.0,72
8448.0,83
8832.0,95
9216.0,107
9600.0,122
9984.0,137
10368.0,153
10752.0,171
11136.0,190
11520.0,210
11904.0,232
12288.0,255
12672.0,280
13056.0,307
13440.0,334
13824.0,364
14208.0,395
14592.0,428
14976.0,463
15360.0,499
15744.0,538
16128.0,578
16512.0,621
16896.0,665
17280.0,711
17664.0,760
18048.0,811
18432.0,863
18816.0,919
19200.0,976
19584.0,1036
19968.0,1098
20352.0,1163
20736.0,1230
21120.0,1299
21504.0,1371
21888.0,1446
22272.0,1524
22656.0,1604
23040.0,1687
23424.0,1773
23808.0,1861
24192.0,1953
24576.0,2047
24960.0,2145
25344.0,2245
25728.0,2349
26112.0,2456
26496.0,2566
26880.0,2679
27264.0,2796
27648.0,2915
28032.0,3039
28416.0,3165
28800.0,3295
29184.0,3429
29568.0,3566
29952.0,3707
30336.0,3851
30720.0,3999
31104.0,4151
31488.0,4307
31872.0,4466
32256.0,4630
32640.0,4797
33024.0,4968
33408.0,5144
33792.0,5323
34176.0,5507
34560.0,5694
34944.0,5886
35328.0,6083
35712.0,6283
36096.0,6488
36480.0,6697
36864.0,6911
37248.0,7129
37632.0,7352
38016.0,7579
38400.0,7812
38784.0,8048
39168.0,8290
39552.0,8536
39936.0,8787
40320.0,9043
40704.0,9304
41088.0,9570
41472.0,9840
41856.0,10116
42240.0,10397
42624.0,10683
43008.0,10975
43392.0,11271
43776.0,11573
44160.0,11881
44544.0,12193
44928.0,12511
45312.0,12835
45696.0,13164
46080.0,13499
46464.0,13839
46848.0,14185
47232.0,14537
47616.0,14894
48000.0,15257
48384.0,15626
48768.0,16002
49152.0,16383
