ppq,val
0.0,0
384.0,380
768.0,756
1152.0,1125
1536.0,1488
1920.0,1845
2304.0,2197
2688.0,2543
3072.0,2883
3456.0,3218
3840.0,3547
4224.0,3871
4608.0,4189
4992.0,4501
5376.0,4809
5760.0,5111
6144.0,5407
6528.0,5699
6912.0,5985
7296.0,6266
7680.0,6542
8064.0,6812
8448.0,7078
8832.0,7339
9216.0,7595
9600.0,7846
9984.0,8092
10368.0,8334
10752.0,8570
11136.0,8803
11520.0,9030
11904.0,9253
12288.0,9471
12672.0,9685
13056.0,9894
13440.0,10099
13824.0,10299
14208.0,10496
14592.0,10688
14976.0,10875
15360.0,11059
15744.0,11238
16128.0,11414
16512.0,11585
16896.0,11752
17280.0,11916
17664.0,12075
18048.0,12231
18432.0,12383
18816.0,12531
19200.0,12675
19584.0,12816
19968.0,12953
20352.0,13087
20736.0,13217
21120.0,13343
21504.0,13467
21888.0,13586
22272.0,13703
22656.0,13816
23040.0,13926
23424.0,14033
23808.0,14137
24192.0,14237
24576.0,14335
24960.0,14429
25344.0,14521
25728.0,14609
26112.0,14695
26496.0,14778
26880.0,14858
27264.0,14936
27648.0,15011
28032.0,15083
28416.0,15152
28800.0,15219
29184.0,15284
29568.0,15346
29952.0,15406
30336.0,15463
30720.0,15519
31104.0,15571
31488.0,15622
31872.0,15671
32256.0,15717
32640.0,15761
33024.0,15804
33408.0,15844
33792.0,15883
34176.0,15919
34560.0,15954
34944.0,15987
35328.0,16018
35712.0,16048
36096.0,16075
36480.0,16102
36864.0,16127
37248.0,16150
37632.0,16172
38016.0,16192
38400.0,16211
38784.0,16229
39168.0,16245
39552.0,16260
39936.0,16275
40320.0,16287
40704.0,16299
41088.0,16310
41472.0,16320
41856.0,16329
42240.0,16337
42624.0,16344
43008.0,16351
43392.0,16356
43776.0,16361
44160.0,16365
44544.0,16369
44928.0,16372
45312.0,16375
45696.0,16377
46080.0,16379
46464.0,16380
46848.0,16381
47232.0,16382
49152.0,16383
