cc,shape_code,shape_name,tension,segment_ppq,max_val
0,0,step,0,49152,16383
1,1,linear,0,49152,16383
2,2,slow,0,49152,16383
3,3,fast-start,0,49152,16383
4,4,fast-end,0,49152,16383
5,5,bezier_-1.00,-1,49152,16383
6,5,bezier_-0.90,-0.9,49152,16383
7,5,bezier_-0.80,-0.8,49152,16383
8,5,bezier_-0.70,-0.7,49152,16383
9,5,bezier_-0.60,-0.6,49152,16383
10,5,bezier_-0.50,-0.5,49152,16383
11,5,bezier_-0.40,-0.4,49152,16383
12,5,bezier_-0.30,-0.3,49152,16383
13,5,bezier_-0.20,-0.2,49152,16383
14,5,bezier_-0.10,-0.1,49152,16383
15,5,bezier_0.00,0,49152,16383
16,5,bezier_0.10,0.1,49152,16383
17,5,bezier_0.20,0.2,49152,16383
18,5,bezier_0.30,0.3,49152,16383
19,5,bezier_0.40,0.4,49152,16383
20,5,bezier_0.50,0.5,49152,16383
21,5,bezier_0.60,0.6,49152,16383
22,5,bezier_0.70,0.7,49152,16383
23,5,bezier_0.80,0.8,49152,16383
24,5,bezier_0.90,0.9,49152,16383
25,5,bezier_1.00,1,49152,16383
