ppq,val
0.0,0
384.0,2
768.0,11
1152.0,26
1536.0,46
1920.0,73
2304.0,104
2688.0,141
3072.0,183
3456.0,231
3840.0,284
4224.0,342
4608.0,404
4992.0,472
5376.0,545
5760.0,622
6144.0,703
6528.0,790
6912.0,880
7296.0,975
7680.0,1074
8064.0,1178
8448.0,1285
8832.0,1396
9216.0,1511
9600.0,1630
9984.0,1753
10368.0,1879
10752.0,2008
11136.0,2141
11520.0,2277
11904.0,2417
12288.0,2559
12672.0,2705
13056.0,2853
13440.0,3004
13824.0,3158
14208.0,3315
14592.0,3474
14976.0,3635
15360.0,3799
15744.0,3965
16128.0,4134
16512.0,4304
16896.0,4476
17280.0,4650
17664.0,4826
18048.0,5004
18432.0,5183
18816.0,5364
19200.0,5546
19584.0,5729
19968.0,5914
20352.0,6100
20736.0,6287
21120.0,6474
21504.0,6663
21888.0,6852
22272.0,7042
22656.0,7233
23040.0,7424
23424.0,7615
23808.0,7807
24192.0,7999
24576.0,8191
24960.0,8383
25344.0,8575
25728.0,8767
26112.0,8958
26496.0,9149
26880.0,9340
27264.0,9530
27648.0,9719
28032.0,9908
28416.0,10095
28800.0,10282
29184.0,10468
29568.0,10653
29952.0,10836
30336.0,11018
30720.0,11199
31104.0,11378
31488.0,11556
31872.0,11732
32256.0,11906
32640.0,12078
33024.0,12248
33408.0,12417
33792.0,12583
34176.0,12747
34560.0,12908
34944.0,13067
35328.0,13224
35712.0,13378
36096.0,13529
36480.0,13677
36864.0,13823
37248.0,13965
37632.0,14105
38016.0,14241
38400.0,14374
38784.0,14503
39168.0,14629
39552.0,14752
39936.0,14871
40320.0,14986
40704.0,15097
41088.0,15204
41472.0,15308
41856.0,15407
42240.0,15502
42624.0,15592
43008.0,15679
43392.0,15760
43776.0,15837
44160.0,15910
44544.0,15978
44928.0,16040
45312.0,16098
45696.0,16151
46080.0,16199
46464.0,16241
46848.0,16278
47232.0,16309
47616.0,16336
48000.0,16356
48384.0,16371
48768.0,16380
49152.0,16383
